"ABV","IBU","Name","Style","Brewery","City","State","Category"
"167",5.5,17,"Ellie’s Brown Ale","American Brown Ale","Avery Brewing Company","Boulder"," CO","Ale"
"168",6.2,17,"Pumpkin Beast","Pumpkin Ale","Aviator Brewing Company","Fuquay-Varina"," NC","Ale"
"169",7.2,22,"OktoberBeast","Märzen / Oktoberfest","Aviator Brewing Company","Fuquay-Varina"," NC","Traditional Germanic"
"170",4.8,23,"Mad Beach","American Pale Wheat Ale","Aviator Brewing Company","Fuquay-Varina"," NC","Ale"
"171",6.7,61,"Hog Wild India Pale Ale","American IPA","Aviator Brewing Company","Fuquay-Varina"," NC","Ale"
"172",9.2,5,"Devils Tramping Ground Tripel","Tripel","Aviator Brewing Company","Fuquay-Varina"," NC","Traditional Germanic"
"173",6.1,41,"Hot Rod Red","American Amber / Red Ale","Aviator Brewing Company","Fuquay-Varina"," NC","Ale"
"174",8.6,81,"Palate Mallet","American Double / Imperial IPA","Back East Brewing Company","Bloomfield"," CT","Ale"
"175",6,21,"Back East Porter","American Porter","Back East Brewing Company","Bloomfield"," CT","Ale"
"176",4.9,10,"Back East Golden Ale","American Blonde Ale","Back East Brewing Company","Bloomfield"," CT","Ale"
"177",7,63,"Misty Mountain IPA","American IPA","Back East Brewing Company","Bloomfield"," CT","Ale"
"178",5,22,"Back East Ale","American Amber / Red Ale","Back East Brewing Company","Bloomfield"," CT","Ale"
"179",6,25,"Truck Stop Honey Brown Ale","English Brown Ale","Back Forty Beer Company","Gadsden"," AL","Ale"
"180",6,43,"Naked Pig Pale Ale","American Pale Ale (APA)","Back Forty Beer Company","Gadsden"," AL","Ale"
"181",6.8,70,"Topcutter India Pale Ale","American IPA","Bale Breaker Brewing Company","Yakima"," WA","Ale"
"182",4.4,38,"Field 41 Pale Ale","American Pale Ale (APA)","Bale Breaker Brewing Company","Yakima"," WA","Ale"
"183",7,68,"Grapefruit Sculpin","American IPA","Ballast Point Brewing Company","San Diego"," CA","Ale"
"184",3.8,40,"Even Keel","American IPA","Ballast Point Brewing Company","San Diego"," CA","Ale"
"185",5.2,23,"Ballast Point Pale Ale","Kölsch","Ballast Point Brewing Company","San Diego"," CA","Traditional Germanic"
"186",7,75,"Big Eye India Pale Ale","American IPA","Ballast Point Brewing Company","San Diego"," CA","Ale"
"187",4.6,10,"Longfin Lager","Munich Helles Lager","Ballast Point Brewing Company","San Diego"," CA","Lager"
"188",7,70,"Sculpin IPA","American IPA","Ballast Point Brewing Company","San Diego"," CA","Ale"
"189",4.5,42,"All Nighter Ale","Extra Special / Strong Bitter (ESB)","Banner Beer Company","Williamsburg"," MA","Ale"
"190",4.5,20,"Banner American Rye","Rye Beer","Banner Beer Company","Williamsburg"," MA","Ale"
"191",3.5,45,"Banner American Ale","American Amber / Red Ale","Banner Beer Company","Williamsburg"," MA","Ale"
"192",7,46,"Thai.p.a","American IPA","Bare Hands Brewery","Granger"," IN","Ale"
"193",6,60,"Barrio Blanco","American IPA","Barrio Brewing Company","Tucson"," AZ","Ale"
"194",4.5,11,"Barrio Tucson Blonde","American Blonde Ale","Barrio Brewing Company","Tucson"," AZ","Ale"
"195",4.9,22,"Hop in the ‘Pool Helles","American Pilsner","Base Camp Brewing Co.","Portland"," OR","Lager"
"196",6.7,60,"Ultra Gnar Gnar IPA","American IPA","Base Camp Brewing Co.","Portland"," OR","Ale"
"197",6.8,62,"In-Tents India Pale Lager","American Pale Lager","Base Camp Brewing Co.","Portland"," OR","Lager"
"198",5,20,"Lost Meridian Wit","Witbier","Base Camp Brewing Co.","Portland"," OR","Traditional Germanic"
"199",5.1,45,"Celestial Meridian Cascadian Dark Lager","Euro Dark Lager","Base Camp Brewing Co.","Portland"," OR","Lager"
"200",5.4,55,"Wagon Party","California Common / Steam Beer","Bauhaus Brew Labs","Minneapolis"," MN","Ale"
"201",6.7,70,"Sky-Five","American IPA","Bauhaus Brew Labs","Minneapolis"," MN","Ale"
"202",5,28,"Stargrazer","Schwarzbier","Bauhaus Brew Labs","Minneapolis"," MN","Traditional Germanic"
"203",5.4,48,"Wonderstuff","German Pilsener","Bauhaus Brew Labs","Minneapolis"," MN","Lager"
"204",5.3,32,"Tarnation California-Style Lager","California Common / Steam Beer","Baxter Brewing Company","Lewiston"," ME","Ale"
"205",7,42,"On the Count of 3 (2015)","Hefeweizen","Baxter Brewing Company","Lewiston"," ME","Traditional Germanic"
"206",4.7,18,"Summer Swelter","American Pale Wheat Ale","Baxter Brewing Company","Lewiston"," ME","Ale"
"207",6.8,44,"Phantom Punch Winter Stout","Foreign / Export Stout","Baxter Brewing Company","Lewiston"," ME","Ale"
"208",6.6,47,"Hayride Autumn Ale","Rye Beer","Baxter Brewing Company","Lewiston"," ME","Ale"
"209",4.7,18,"Celsius Summer Ale (2012)","American Pale Wheat Ale","Baxter Brewing Company","Lewiston"," ME","Ale"
"210",5.5,35,"Amber Road","American Amber / Red Ale","Baxter Brewing Company","Lewiston"," ME","Ale"
"211",4.9,28,"Pamola Xtra Pale Ale","American Pale Ale (APA)","Baxter Brewing Company","Lewiston"," ME","Ale"
"212",6.9,69,"Stowaway IPA","American IPA","Baxter Brewing Company","Lewiston"," ME","Ale"
"213",8.8,108,"Hoptopus Double IPA","American Double / Imperial IPA","Beach Brewing Company","Virginia Beach"," VA","Ale"
"214",5,10,"Watermelon Ale","Fruit / Vegetable Beer","Beer Works Brewery","Lowell"," MA","Other"
"215",5.8,45,"Fenway American Pale Ale","American Pale Ale (APA)","Beer Works Brewery","Lowell"," MA","Ale"
"216",6.8,85,"Back Bay IPA","American IPA","Beer Works Brewery","Lowell"," MA","Ale"
"217",4.8,16,"Bunker Hill Blueberry Ale ","Other","Beer Works Brewery","Lowell"," MA","Other"
"218",5.8,18,"Oberon","American Pale Wheat Ale","Bell's Brewery","Kalamazoo"," MI","Ale"
"219",6,35,"Smitten","Rye Beer","Bell's Brewery","Kalamazoo"," MI","Ale"
"220",5,6,"Winter White","Witbier","Bell's Brewery","Kalamazoo"," MI","Traditional Germanic"
"221",5.8,18,"Oberon","American Pale Wheat Ale","Bell's Brewery","Kalamazoo"," MI","Ale"
"222",7,63,"Two Hearted","American IPA","Bell's Brewery","Kalamazoo"," MI","Ale"
"223",5.8,21,"Best Brown","American Brown Ale","Bell's Brewery","Kalamazoo"," MI","Ale"
"224",4.4,44,"Moar","English India Pale Ale (IPA)","Bent Brewstillery","Roseville"," MN","Ale"
"225",8.3,85,"Uber Lupin Schwarz IPA","American Double / Imperial IPA","Bent Brewstillery","Roseville"," MN","Ale"
"226",5.7,27,"Nordic Blonde","American Blonde Ale","Bent Brewstillery","Roseville"," MN","Ale"
"227",6,54,"Cold Press","American Black Ale","Bent Paddle Brewing Company","Duluth"," MN","Ale"
"228",7.2,87,"Harness the Winter","American IPA","Bent Paddle Brewing Company","Duluth"," MN","Ale"
"229",5.6,32,"14° ESB ","Extra Special / Strong Bitter (ESB)","Bent Paddle Brewing Company","Duluth"," MN","Ale"
"230",6.2,68,"Bent Hop Golden IPA","American IPA","Bent Paddle Brewing Company","Duluth"," MN","Ale"
"231",6,34,"Bent Paddle Black Ale","American Black Ale","Bent Paddle Brewing Company","Duluth"," MN","Ale"
"232",5,38,"Venture Pils","German Pilsener","Bent Paddle Brewing Company","Duluth"," MN","Lager"
"233",5.5,40,"Lost Sailor IPA","English India Pale Ale (IPA)","Berkshire Brewing Company","South Deerfield"," MA","Ale"
"234",5.3,20,"Steel Rail Extra Pale Ale","American Pale Ale (APA)","Berkshire Brewing Company","South Deerfield"," MA","Ale"
"235",7.8,68,"La Frontera Premium IPA","American IPA","Big Bend Brewing Company","Alpine"," TX","Ale"
"236",4.7,20,"Tejas Lager","Czech Pilsener","Big Bend Brewing Company","Alpine"," TX","Lager"
"237",6.4,24,"Number 22 Porter","American Porter","Big Bend Brewing Company","Alpine"," TX","Ale"
"238",5.6,10,"Big Bend Hefeweizen","Hefeweizen","Big Bend Brewing Company","Alpine"," TX","Traditional Germanic"
"239",6,18,"Terlingua Gold","American Blonde Ale","Big Bend Brewing Company","Alpine"," TX","Ale"
"240",8.1,17,"Aprè Shred","American Strong Ale","Big Choice Brewing","Broomfield"," CO","Ale"
"241",9.5,104,"Hemlock Double IPA","American Double / Imperial IPA","Big Choice Brewing","Broomfield"," CO","Ale"
"242",4.1,24,"West Portal Colorado Common Summer Ale","California Common / Steam Beer","Big Choice Brewing","Broomfield"," CO","Ale"
"243",6.7,85,"Disconnected Red","American Amber / Red Ale","Big Choice Brewing","Broomfield"," CO","Ale"
"244",7,63,"Big Elm IPA","American IPA","Big Elm Brewing","Sheffield"," MA","Ale"
"245",6.5,32,"Gerry Dog Stout","American Stout","Big Elm Brewing","Sheffield"," MA","Ale"
"246",6,18,"413 Farmhouse Ale","Saison / Farmhouse Ale","Big Elm Brewing","Sheffield"," MA","Other"
"247",8,54,"Dark Star","American Stout","Big Lake Brewing","Holland"," MI","Ale"
"248",6.2,67,"Ryecoe","American IPA","Big Lake Brewing","Holland"," MI","Ale"
"249",6,6,"Blueberry Blonde","Fruit / Vegetable Beer","Big Muddy Brewing","Murphysboro"," IL","Other"
"250",7.5,60,"Galaxy IPA","American IPA","Big Muddy Brewing","Murphysboro"," IL","Ale"
"251",5,32,"Big River Pilsner","Czech Pilsener","Big River Brewing Company","Chattanooga"," TN","Lager"
"252",6,55,"House Brand IPA","American IPA","Big River Brewing Company","Chattanooga"," TN","Ale"
"253",6.2,65,"Big Sky IPA","American IPA","Big Sky Brewing Company","Missoula"," MT","Ale"
"254",5,40,"Scape Goat Pale Ale","English Pale Ale","Big Sky Brewing Company","Missoula"," MT","Ale"
